ID,E_ANTHROPOMORPHISM,I_ANTHROPOMORPHISM,E_ANIMACY,I_ANIMACY,E_LIKEABILITY,I_LIKEABILITY,E_INTELLIGENCE,I_INTELLIGENCE,E_SAFETY,I_SAFETY,E_OVERALL,I_OVERALL,E_SYSUSE,I_SYSUSE,E_INFOQUAL,I_INFOQUAL,E_INTERQUAL,I_INTERQUAL
0,4.0,4.0,4.17,4.33,4.8,5.0,3.8,4.4,5.0,5.0,4.21,4.37,4.0,4.12,4.57,4.71,4.33,4.67
1,4.0,4.2,4.33,4.17,4.8,4.8,4.0,3.8,5.0,4.67,4.32,4.32,4.0,4.12,4.86,4.57,4.0,4.33
2,3.6,3.6,3.67,3.33,3.6,4.4,3.6,4.2,4.0,4.33,3.63,3.89,3.5,3.5,3.71,4.0,3.67,4.33
3,2.0,2.4,2.67,3.0,4.8,4.8,3.0,4.0,4.67,4.33,3.11,3.53,2.0,2.38,4.14,4.43,3.33,4.33
4,4.4,4.0,3.83,3.5,4.8,5.0,3.6,3.8,4.33,4.33,4.16,4.11,4.0,3.75,4.57,4.43,4.0,4.67
5,2.8,3.2,3.67,3.33,5.0,5.0,5.0,3.8,5.0,5.0,4.0,3.79,3.12,3.12,4.43,4.43,5.0,4.33
6,2.4,2.0,1.5,1.17,4.0,3.6,3.4,3.2,3.0,3.33,2.74,2.37,1.88,1.62,3.14,2.71,3.67,3.33
7,3.2,3.0,3.33,3.5,3.6,4.6,2.4,3.4,4.67,4.33,3.21,3.63,3.0,2.88,3.71,4.57,2.67,3.33
8,3.2,3.0,3.17,3.33,4.8,4.6,4.2,4.4,4.0,4.0,3.79,3.79,3.12,3.12,4.14,4.0,4.33,5.0
9,2.8,2.4,2.83,3.17,3.4,3.8,3.0,3.2,4.33,4.33,3.0,3.16,2.75,2.62,3.29,3.57,3.0,3.67
10,2.6,2.8,3.33,3.17,4.6,5.0,3.4,4.0,4.67,4.67,3.47,3.68,2.88,2.88,4.14,4.29,3.33,4.33
11,2.4,3.0,2.83,3.0,4.4,4.8,4.8,4.6,5.0,4.0,3.47,3.74,2.62,3.25,3.57,3.86,5.0,4.33
12,4.0,4.6,4.33,5.0,5.0,5.0,5.0,5.0,4.33,5.0,4.53,4.89,4.12,4.75,4.71,5.0,5.0,5.0
13,4.6,4.4,4.0,4.33,5.0,4.6,5.0,5.0,5.0,5.0,4.58,4.53,4.25,4.12,4.71,4.71,5.0,5.0
14,2.2,2.0,2.83,2.17,5.0,5.0,5.0,4.2,5.0,5.0,3.58,3.21,2.12,1.88,4.43,4.0,5.0,4.33
15,2.8,2.2,2.83,3.33,5.0,5.0,2.6,3.6,4.33,4.33,3.37,3.53,2.38,2.25,4.57,4.71,4.0,5.0
16,3.4,5.0,4.5,4.5,5.0,5.0,4.6,5.0,5.0,5.0,4.37,4.84,3.75,4.75,4.86,4.86,5.0,5.0
17,3.4,3.0,3.33,2.5,3.8,4.2,3.6,3.4,4.67,4.33,3.53,3.26,3.38,2.88,3.71,3.57,3.67,3.67
18,4.4,4.4,4.67,4.5,4.8,5.0,4.6,4.8,4.67,5.0,4.58,4.68,4.38,4.38,5.0,4.86,4.33,5.0
19,4.4,3.0,4.83,3.33,5.0,4.8,4.4,3.6,5.0,4.33,4.79,3.74,4.5,3.12,5.0,4.29,5.0,4.0
20,2.4,2.8,2.5,2.83,4.6,3.8,3.0,3.8,4.33,2.0,3.16,3.21,2.25,2.75,3.86,3.29,3.67,4.33
21,3.6,3.4,3.67,4.0,4.2,4.4,3.2,3.2,3.67,3.67,3.68,3.84,3.5,3.62,4.14,4.29,3.33,3.67
22,3.4,3.8,4.17,4.33,4.8,5.0,4.0,5.0,4.67,4.33,4.11,4.47,3.75,3.88,4.43,4.86,4.33,5.0
