ID,values,section,Behavior
0,4.0,Anthropomorphism,explicit
1,4.0,Anthropomorphism,explicit
2,3.6,Anthropomorphism,explicit
3,2.0,Anthropomorphism,explicit
4,4.4,Anthropomorphism,explicit
5,2.8,Anthropomorphism,explicit
6,2.4,Anthropomorphism,explicit
7,3.2,Anthropomorphism,explicit
8,3.2,Anthropomorphism,explicit
9,2.8,Anthropomorphism,explicit
10,2.6,Anthropomorphism,explicit
11,2.4,Anthropomorphism,explicit
12,4.0,Anthropomorphism,explicit
13,4.6,Anthropomorphism,explicit
14,2.2,Anthropomorphism,explicit
15,2.8,Anthropomorphism,explicit
16,3.4,Anthropomorphism,explicit
17,3.4,Anthropomorphism,explicit
18,4.4,Anthropomorphism,explicit
19,4.4,Anthropomorphism,explicit
20,2.4,Anthropomorphism,explicit
21,3.6,Anthropomorphism,explicit
22,3.4,Anthropomorphism,explicit
23,4.6,Anthropomorphism,explicit
24,3.8,Anthropomorphism,explicit
25,1.8,Anthropomorphism,explicit
26,4.2,Anthropomorphism,explicit
27,1.8,Anthropomorphism,explicit
28,2.6,Anthropomorphism,explicit
29,2.6,Anthropomorphism,explicit
30,1.8,Anthropomorphism,explicit
31,3.8,Anthropomorphism,explicit
32,2.4,Anthropomorphism,explicit
33,4.2,Anthropomorphism,explicit
34,2.8,Anthropomorphism,explicit
35,4.0,Anthropomorphism,explicit
36,2.4,Anthropomorphism,explicit
37,4.6,Anthropomorphism,explicit
38,3.6,Anthropomorphism,explicit
39,4.8,Anthropomorphism,explicit
40,2.8,Anthropomorphism,explicit
41,3.8,Anthropomorphism,explicit
42,3.6,Anthropomorphism,explicit
43,4.2,Anthropomorphism,explicit
44,2.8,Anthropomorphism,explicit
45,2.8,Anthropomorphism,explicit
46,4.6,Anthropomorphism,explicit
47,3.6,Anthropomorphism,explicit
48,4.0,Anthropomorphism,explicit
49,2.2,Anthropomorphism,explicit
50,4.0,Anthropomorphism,explicit
51,3.0,Anthropomorphism,explicit
52,3.8,Anthropomorphism,explicit
53,4.2,Anthropomorphism,explicit
54,3.6,Anthropomorphism,explicit
55,3.4,Anthropomorphism,explicit
56,1.4,Anthropomorphism,explicit
57,4.2,Anthropomorphism,explicit
58,3.4,Anthropomorphism,explicit
59,2.0,Anthropomorphism,explicit
60,4.6,Anthropomorphism,explicit
61,3.8,Anthropomorphism,explicit
0,4.0,Anthropomorphism,implicit
1,4.2,Anthropomorphism,implicit
2,3.6,Anthropomorphism,implicit
3,2.4,Anthropomorphism,implicit
4,4.0,Anthropomorphism,implicit
5,3.2,Anthropomorphism,implicit
6,2.0,Anthropomorphism,implicit
7,3.0,Anthropomorphism,implicit
8,3.0,Anthropomorphism,implicit
9,2.4,Anthropomorphism,implicit
10,2.8,Anthropomorphism,implicit
11,3.0,Anthropomorphism,implicit
