ID,INIT_TRUST,FIRST_SURVEY,FIRST_TRUST,SECOND_SURVEY,SECOND_TRUST
0,0.7571,explicit,0.8857,implicit,0.95
1,0.8571,implicit,0.8071,explicit,0.8857
2,0.8429,explicit,0.65,implicit,0.85
3,0.8071,implicit,0.8929,explicit,0.7857
4,0.6429,explicit,0.9714,implicit,0.8857
5,0.65,implicit,0.9571,explicit,0.9857
6,0.6786,explicit,0.6714,implicit,0.7929
7,0.7143,implicit,0.8429,explicit,0.5071
8,0.85,explicit,0.9786,implicit,0.9714
9,0.8,implicit,0.85,explicit,0.8286
10,0.7786,explicit,0.8714,implicit,0.9
11,0.8286,implicit,0.9286,explicit,0.95
12,0.8929,explicit,0.8286,implicit,1.0
13,0.9714,implicit,0.9786,explicit,0.9071
14,0.5786,explicit,0.9571,implicit,0.9571
15,0.9071,implicit,0.8929,explicit,0.6786
16,0.8071,explicit,0.9643,implicit,0.9429
17,0.8357,implicit,0.7786,explicit,0.8714
18,0.7786,explicit,0.9071,implicit,0.8857
19,0.8643,implicit,0.9357,explicit,0.95
20,0.55,explicit,0.65,implicit,0.5857
21,0.6714,implicit,0.8214,explicit,0.7929
22,0.9357,explicit,0.75,implicit,0.9857
23,0.9357,implicit,0.9143,explicit,0.9929
24,0.8929,explicit,0.9571,implicit,0.9429
25,0.6786,implicit,0.7286,explicit,0.7429
26,0.7,explicit,0.8929,implicit,0.9071
27,0.9143,implicit,0.4071,explicit,0.3143
28,0.8,explicit,0.6929,implicit,0.75
29,0.65,implicit,0.6643,explicit,0.6429
30,0.7,explicit,0.6929,implicit,0.7286
31,0.8286,implicit,0.9286,explicit,0.9571
32,0.7143,explicit,0.6929,implicit,0.6643
33,0.7286,implicit,0.75,explicit,0.7929
34,0.95,explicit,0.9643,implicit,0.9
35,0.55,implicit,0.7857,explicit,0.75
36,0.7357,explicit,0.8643,implicit,0.8714
37,0.9214,implicit,0.9929,explicit,0.95
38,0.7857,explicit,0.7286,implicit,0.9286
39,0.7571,implicit,0.8643,explicit,0.9286
40,0.7214,explicit,0.7,implicit,0.8214
41,0.65,implicit,0.7857,explicit,0.85
42,0.75,explicit,0.9429,implicit,0.9143
43,0.8214,implicit,0.7786,explicit,0.9571
44,0.7071,explicit,0.9429,implicit,0.9643
45,0.7571,implicit,0.9429,explicit,0.9571
46,0.8857,explicit,0.9714,implicit,0.9786
47,0.6,implicit,0.8786,explicit,0.9071
48,0.7857,explicit,0.8786,implicit,0.9286
49,0.8929,implicit,0.9143,explicit,0.7929
50,0.8143,explicit,0.95,implicit,0.9786
51,0.7643,implicit,0.85,explicit,0.8929
52,0.75,explicit,0.8857,implicit,0.8929
53,0.7,implicit,0.7357,explicit,0.7214
54,0.8929,explicit,0.9571,implicit,0.8
55,0.8643,implicit,0.8571,explicit,0.8286
56,0.5643,explicit,0.6214,implicit,0.7357
57,0.8,implicit,0.9429,explicit,0.9571
58,0.75,explicit,0.75,implicit,0.8286
59,0.5929,implicit,0.1429,explicit,0.1214
60,0.8071,explicit,0.8,implicit,0.7786
61,0.85,implicit,0.95,explicit,0.9429
